CustomerID,Customer_FirstName,Customer_LastName,Customer_Membership
C11000,John,Doe,Diamond
C11001,Alice,Smith,Gold
C11002,Michael,Johnson,Silver
C11003,Emily,Brown,Bronze
C11004,William,Jones,Silver
C11005,Sophia,Davis,Gold
C11006,James,Miller,Silver
C11007,Olivia,Wilson,Bronze
C11008,Benjamin,Taylor,Diamond
C11009,Emma,Anderson,Gold
C11010,Alexander,Thomas,Silver
C11011,Mia,Jackson,Bronze
C11012,Ethan,White,Diamond
C11013,Isabella,Harris,Gold
C11014,Daniel,Martin,Silver
C11015,Charlotte,Thompson,Bronze
C11016,Matthew,Garcia,Diamond
C11017,Amelia,Martinez,Gold
C11018,Henry,Robinson,Silver
C11019,Harper,Clark,Bronze
C11020,Ava,Rodriguez,Diamond
C11021,Jacob,Lewis,Gold
C11022,Evelyn,Lee,Silver
C11023,Noah,Walker,Bronze
C11024,Samantha,Hall,Diamond
C11025,William,Allen,Gold
C11026,Mia,Young,Silver
C11027,Benjamin,Hernandez,Bronze
C11028,Ava,King,Diamond
C11029,James,Wright,Gold
C11030,Olivia,Perez,Silver
C11031,Elijah,Sanchez,Bronze
C11032,Harper,Long,Diamond
C11033,Evelyn,Baker,Gold
C11034,Logan,Green,Silver
C11035,Amelia,Brooks,Bronze
C11036,Mason,Cook,Diamond
C11037,Mia,Ramirez,Gold
C11038,Benjamin,Cooper,Silver
C11039,William,Reed,Bronze
C11040,Ava,Flores,Diamond
C11041,Charlotte,Murphy,Gold
C11042,Oliver,Rivera,Silver
C11043,Isabella,Gray,Bronze
C11044,Liam,Torres,Diamond
C11045,Sophia,Peterson,Gold
C11046,Jacob,Rogers,Silver
C11047,Mia,Morgan,Bronze
C11048,William,Cooper,Diamond
C11049,Amelia,Bell,Gold
C11050,Michael,Foster,Silver
C11051,Harper,Powell,Bronze
C11052,Ava,Carter,Diamond
C11053,Elijah,Ward,Gold
C11054,Olivia,Sanders,Silver
C11055,Mason,Bennett,Bronze
C11056,Isabella,Griffin,Diamond
C11057,Liam,Russell,Gold
C11058,Sophia,Diaz,Silver
C11059,Benjamin,Hayes,Bronze
C11060,Mia,Price,Diamond
C11061,Elijah,Simmons,Gold
C11062,Olivia,Jenkins,Silver
C11063,Benjamin,Perry,Bronze
C11064,Emma,Coleman,Diamond
C11065,Harper,Powell,Gold
C11066,Liam,Bell,Silver
C11067,Sophia,Foster,Bronze
C11068,William,Powell,Diamond
C11069,Amelia,Hayes,Gold
C11070,Mason,Simmons,Silver
C11071,Isabella,Griffin,Bronze
C11072,Liam,Russell,Diamond
C11073,Sophia,Diaz,Gold
C11074,Benjamin,Hayes,Silver
C11075,Ava,Sanders,Bronze
C11076,Olivia,Ward,Diamond
C11077,Elijah,Bennett,Gold
C11078,Mason,Sanders,Silver
C11079,Isabella,Griffin,Bronze
C11080,Liam,Russell,Diamond
C11081,Sophia,Diaz,Gold
C11082,Benjamin,Hayes,Silver
C11083,Ava,Sanders,Bronze
C11084,Olivia,Ward,Diamond
C11085,Elijah,Bennett,Gold
C11086,Mason,Sanders,Silver
C11087,Isabella,Griffin,Bronze
C11088,Liam,Russell,Diamond
C11089,Sophia,Diaz,Gold
C11090,Benjamin,Hayes,Silver
C11091,Ava,Sanders,Bronze
C11092,Olivia,Ward,Diamond
C11093,Elijah,Bennett,Gold
C11094,Mason,Sanders,Silver
C11095,Isabella,Griffin,Bronze
C11096,Liam,Russell,Diamond
C11097,Sophia,Diaz,Gold
C11098,Benjamin,Hayes,Silver
C11099,Olivia,Nguyen,Bronze
C11100,Sophia,Harris,Gold
C11101,James,Martinez,Silver
C11102,Emma,Robinson,Bronze
C11103,William,Turner,Diamond
C11104,Olivia,Cooper,Gold
C11105,Elijah,Reed,Silver
C11106,Mia,Stewart,Bronze
C11107,Alexander,Clark,Diamond
C11108,Charlotte,Garcia,Gold
C11109,Noah,Martinez,Silver
C11110,Amelia,Young,Bronze
C11111,Benjamin,Hernandez,Diamond
C11112,Ava,King,Gold
C11113,William,Wright,Silver
C11114,Mia,Nguyen,Bronze
C11115,Noah,Wilson,Diamond
C11116,Emma,Smith,Gold
C11117,Sophia,Johnson,Silver
C11118,Liam,Brown,Bronze
C11119,Olivia,Taylor,Diamond
C11120,Elijah,Clark,Gold
C11121,Charlotte,Lewis,Silver
C11122,William,Rodriguez,Bronze
C11123,Mia,Walker,Diamond
C11124,Noah,Thompson,Gold
C11125,Ava,Martinez,Silver
C11126,Liam,Johnson,Bronze
C11127,Olivia,Davis,Diamond
C11128,Benjamin,Hernandez,Gold
C11129,Emily,Wilson,Silver
C11130,Sophia,Harris,Gold
C11131,James,Martinez,Silver
C11132,Emma,Robinson,Bronze
C11133,William,Turner,Diamond
C11134,Olivia,Cooper,Gold
C11135,Elijah,Reed,Silver
C11136,Mia,Stewart,Bronze
C11137,Alexander,Clark,Diamond
C11138,Charlotte,Garcia,Gold
C11139,Noah,Martinez,Silver
C11140,Amelia,Young,Bronze
C11141,Benjamin,Hernandez,Diamond
C11142,Ava,King,Gold
C11143,William,Wright,Silver
C11144,Mia,Nguyen,Bronze
C11145,Noah,Wilson,Diamond
C11146,Emma,Smith,Gold
C11147,Sophia,Johnson,Silver
C11148,Liam,Brown,Bronze
C11149,Olivia,Taylor,Diamond
C11150,Elijah,Clark,Gold
C11151,Charlotte,Lewis,Silver
C11152,William,Rodriguez,Bronze
C11153,Mia,Walker,Diamond
C11154,Noah,Thompson,Gold
C11155,Ava,Martinez,Silver
C11156,Liam,Johnson,Bronze
C11157,Olivia,Davis,Diamond
C11158,Benjamin,Hernandez,Gold
C11159,Emily,Wilson,Silver
C11160,Noah,Smith,Bronze
C11161,Ava,Johnson,Diamond
C11162,Sophia,Taylor,Gold
C11163,William,Lewis,Silver
C11164,Mia,Martinez,Bronze
C11165,Benjamin,Young,Diamond
C11166,Olivia,Miller,Gold
C11167,Liam,Wilson,Silver
C11168,Emma,Taylor,Bronze
C11169,Noah,Johnson,Diamond
C11170,Ava,Martinez,Gold
C11171,William,Clark,Silver
C11172,Mia,Anderson,Bronze
C11173,Olivia,Hernandez,Diamond
C11174,Benjamin,Lewis,Gold
C11175,Sophia,Taylor,Silver
C11176,William,Martinez,Bronze
C11177,Emma,Johnson,Diamond
C11178,Sophia,Harris,Gold
C11179,James,Martinez,Silver
C11180,Emma,Robinson,Bronze
C11181,William,Turner,Diamond
C11182,Olivia,Cooper,Gold
C11183,Elijah,Reed,Silver
C11184,Mia,Stewart,Bronze
C11185,Alexander,Clark,Diamond
C11186,Charlotte,Garcia,Gold
C11187,Noah,Martinez,Silver
C11188,Amelia,Young,Bronze
C11189,Benjamin,Hernandez,Diamond
C11190,Ava,King,Gold
C11191,William,Wright,Silver
C11192,Mia,Nguyen,Bronze
C11193,Noah,Wilson,Diamond
C11194,Emma,Smith,Gold
C11195,Sophia,Johnson,Silver
C11196,Liam,Brown,Bronze
C11197,Olivia,Taylor,Diamond
C11198,Elijah,Clark,Gold
C11199,Charlotte,Lewis,Silver
C11200,William,Rodriguez,Bronze
C11201,Mia,Walker,Diamond
C11202,Noah,Thompson,Gold
C11203,Emma,Johnson,Diamond
C11204,Liam,Johnson,Bronze
C11205,Olivia,Davis,Diamond
C11206,Benjamin,Hernandez,Gold
C11207,Emily,Wilson,Silver
C11208,Noah,Smith,Bronze
C11209,Ava,Johnson,Diamond
C11210,Sophia,Taylor,Gold
C11211,William,Lewis,Silver
C11212,Mia,Martinez,Bronze
C11213,Benjamin,Young,Diamond
C11214,Olivia,Miller,Gold
C11215,Liam,Wilson,Silver
C11216,Emma,Taylor,Bronze
C11217,Noah,Johnson,Diamond
C11218,Ava,Martinez,Gold
C11219,William,Clark,Silver
C11220,Mia,Anderson,Bronze
C11221,Olivia,Hernandez,Diamond
C11222,Benjamin,Lewis,Gold
C11223,Sophia,Taylor,Silver
C11224,William,Martinez,Bronze
C11225,Mia,Johnson,Diamond
C11226,Ethan,Williams,Diamond
C11227,Olivia,Martin,Gold
C11228,Benjamin,Lee,Silver
C11229,Emily,Garcia,Bronze
C11230,Sophia,Rodriguez,Diamond
C11231,Noah,Nguyen,Gold
C11232,William,Martinez,Silver
C11233,Mia,Hernandez,Bronze
C11234,Liam,Lopez,Diamond
C11235,Ava,Perez,Gold
C11236,Elijah,Carter,Silver
C11237,Charlotte,Thompson,Bronze
C11238,Oliver,Harris,Diamond
C11239,Emma,King,Gold
C11240,Mia,Wright,Silver
C11241,William,Lewis,Bronze
C11242,Sophia,Walker,Diamond
C11243,James,Perez,Gold
C11244,Olivia,Taylor,Silver
C11245,Noah,Rodriguez,Bronze
C11246,Isabella,Young,Diamond
C11247,Emma,Martinez,Gold
C11248,Benjamin,Hernandez,Silver
C11249,Amelia,Nguyen,Bronze
C11250,Liam,Perez,Diamond
C11251,Olivia,Martinez,Gold
C11252,Ethan,Williams,Silver
C11253,Ava,Martin,Bronze
C11254,Benjamin,Lee,Diamond
C11255,Emily,Garcia,Gold
C11256,Sophia,Rodriguez,Silver
C11257,Noah,Nguyen,Bronze
C11258,William,Martinez,Diamond
C11259,Mia,Hernandez,Gold
C11260,Liam,Lopez,Silver
C11261,Ava,Perez,Bronze
C11262,Elijah,Carter,Diamond
C11263,Charlotte,Thompson,Gold
C11264,Oliver,Harris,Silver
C11265,Emma,King,Bronze
C11266,Mia,Wright,Diamond
C11267,William,Lewis,Gold
C11268,Sophia,Walker,Silver
C11269,James,Perez,Bronze
C11270,Olivia,Taylor,Diamond
C11271,Noah,Rodriguez,Gold
C11272,Isabella,Young,Silver
C11273,Emma,Martinez,Bronze
C11274,Benjamin,Hernandez,Diamond
C11275,Amelia,Nguyen,Gold
C11276,Liam,Perez,Silver
C11277,Olivia,Martinez,Bronze
C11278,Olivia,Brown,Gold
C11279,William,Martinez,Silver
C11280,Emily,Thompson,Bronze
C11281,Sophia,Hernandez,Diamond
C11282,Noah,Walker,Gold
C11283,Mia,Perez,Silver
C11284,Benjamin,Lewis,Bronze
C11285,Olivia,Rodriguez,Diamond
C11286,William,Taylor,Gold
C11287,Emma,King,Silver
C11288,Liam,Garcia,Bronze
C11289,Ava,Williams,Diamond
C11290,Noah,Young,Gold
C11291,Sophia,Martin,Silver
C11292,Benjamin,Lee,Bronze
C11293,Olivia,Lopez,Diamond
C11294,William,Wright,Gold
C11295,Mia,Perez,Silver
C11296,Emma,Carter,Bronze
C11297,Liam,Thompson,Diamond
C11298,Olivia,Harris,Gold
C11299,Benjamin,Garcia,Silver
C11300,Sophia,Williams,Bronze
C11301,Noah,Martin,Diamond
C11302,Mia,Lee,Gold
C11303,William,Garcia,Silver
C11304,Olivia,Brown,Bronze
C11305,William,Martinez,Diamond
C11306,Emily,Thompson,Gold
C11307,Sophia,Hernandez,Silver
C11308,Noah,Walker,Bronze
C11309,Mia,Perez,Diamond
C11310,Benjamin,Lewis,Gold
C11311,Olivia,Rodriguez,Silver
C11312,William,Taylor,Bronze
C11313,Emma,King,Diamond
C11314,Liam,Garcia,Gold
C11315,Ava,Williams,Silver
C11316,Noah,Young,Bronze
C11317,Sophia,Martin,Diamond
C11318,Benjamin,Lee,Gold
C11319,Olivia,Lopez,Silver
C11320,William,Wright,Bronze
C11321,Mia,Perez,Diamond
C11322,Emma,Carter,Gold
C11323,Liam,Thompson,Silver
C11324,Oliver,Lee,Diamond
C11325,Emma,Lewis,Gold
C11326,William,Garcia,Silver
C11327,Mia,Hernandez,Bronze
C11328,Noah,Young,Diamond
C11329,Sophia,Martin,Gold
C11330,Benjamin,Lee,Silver
C11331,Olivia,Lopez,Bronze
C11332,Liam,Perez,Diamond
C11333,Emma,Rodriguez,Gold
C11334,William,Taylor,Silver
C11335,Mia,Walker,Bronze
C11336,Olivia,King,Diamond
C11337,Noah,Garcia,Gold
C11338,Sophia,Thompson,Silver
C11339,William,Williams,Bronze
C11340,Emma,Lee,Diamond
C11341,Benjamin,Lewis,Gold
C11342,Olivia,Garcia,Silver
C11343,Liam,Rodriguez,Bronze
C11344,Ava,King,Diamond
C11345,Noah,Garcia,Gold
C11346,Olivia,Lee,Silver
C11347,William,Lewis,Bronze
C11348,Emma,Perez,Diamond
C11349,Noah,Lee,Gold
C11350,Olivia,Martinez,Silver
C11351,Liam,Garcia,Bronze
C11352,Benjamin,Lewis,Diamond
C11353,Olivia,Walker,Gold
C11354,William,King,Silver
C11355,Noah,Lewis,Bronze
C11356,Ava,Perez,Diamond
C11357,Olivia,Lee,Gold
C11358,William,Garcia,Silver
C11359,Mia,Lopez,Bronze
C11360,Olivia,Rodriguez,Diamond
C11361,Liam,Thompson,Gold
C11362,Emma,Walker,Silver
C11363,Noah,Lewis,Bronze
C11364,Olivia,Perez,Diamond
C11365,Benjamin,Lee,Gold
C11366,Olivia,Garcia,Silver
C11367,Liam,Walker,Bronze
C11368,Mia,Lopez,Diamond
C11369,Olivia,Rodriguez,Gold
C11370,William,Thompson,Silver
C11371,Noah,Lee,Bronze
C11372,Olivia,Perez,Diamond
C11373,Benjamin,Lewis,Gold
C11374,Emma,Garcia,Silver
C11375,William,Lopez,Bronze
C11376,Olivia,Perez,Diamond
C11377,Liam,Thompson,Gold
C11378,Noah,Lewis,Silver
C11379,Olivia,Rodriguez,Bronze
C11380,William,Lee,Diamond
C11381,Ava,Garcia,Gold
C11382,Benjamin,Perez,Silver
C11383,Olivia,Lopez,Bronze
C11384,Liam,Garcia,Diamond
C11385,Emma,Walker,Gold
C11386,Noah,Perez,Silver
C11387,Sophia,Lopez,Bronze
C11388,William,Lee,Diamond
C11389,Olivia,Garcia,Gold
C11390,Mia,Lopez,Silver
C11391,Benjamin,Perez,Bronze
C11392,Olivia,Lee,Diamond
C11393,Liam,Garcia,Gold
C11394,Emma,Lopez,Silver
C11395,Noah,Perez,Bronze
C11396,William,Lee,Diamond
C11397,Olivia,Garcia,Gold
C11398,Mia,Lopez,Silver
C11399,Benjamin,Perez,Bronze
C11400,Emma,Miller,Diamond
C11401,Olivia,Wright,Gold
C11402,William,White,Silver
C11403,Liam,Lopez,Bronze
C11404,Mia,Martinez,Diamond
C11405,Noah,Taylor,Gold
C11406,Olivia,Hernandez,Silver
C11407,Benjamin,Garcia,Bronze
C11408,Sophia,King,Diamond
C11409,William,Lopez,Gold
C11410,Mia,Young,Silver
C11411,Olivia,Perez,Bronze
C11412,Benjamin,Garcia,Diamond
C11413,Emma,Rodriguez,Gold
C11414,Liam,Martin,Silver
C11415,Noah,Lopez,Bronze
C11416,Olivia,Lee,Diamond
C11417,William,Garcia,Gold
C11418,Mia,Thompson,Silver
C11419,Benjamin,Perez,Bronze
C11420,Emma,Wright,Diamond
C11421,Olivia,Lopez,Gold
C11422,Liam,Hernandez,Silver
C11423,Noah,Garcia,Bronze
C11424,Sophia,Taylor,Diamond
C11425,William,Rodriguez,Gold
C11426,Olivia,Young,Silver
C11427,Benjamin,Garcia,Bronze
C11428,Emma,Thompson,Diamond
C11429,Liam,Lopez,Gold
C11430,Noah,Martinez,Silver
C11431,Mia,Wright,Bronze
C11432,William,White,Diamond
C11433,Olivia,Garcia,Gold
C11434,Sophia,Lee,Silver
C11435,William,Perez,Bronze
C11436,Olivia,Thompson,Diamond
C11437,Benjamin,Garcia,Gold
C11438,Emma,Wright,Silver
C11439,Liam,Lopez,Bronze
C11440,Noah,Martinez,Diamond
C11441,Mia,Wright,Gold
C11442,William,White,Silver
C11443,Olivia,Garcia,Bronze
C11444,Sophia,Lee,Diamond
C11445,William,Perez,Gold
C11446,Olivia,Thompson,Silver
C11447,Benjamin,Garcia,Bronze
C11448,Emma,Wright,Diamond
